,year,per_capita_income
0,1970,3399.299037
1,1971,3768.297935
2,1972,4251.175484
3,1973,4804.463248
4,1974,5576.514583
5,1975,5998.144346
6,1976,7062.131392
7,1977,7100.12617
8,1978,7247.967035
9,1979,7602.912681
10,1980,8355.96812
11,1981,9434.390652
12,1982,9619.438377
13,1983,10416.53659
14,1984,10790.32872
15,1985,11018.95585
16,1986,11482.89153
17,1987,12974.80662
18,1988,15080.28345
19,1989,16426.72548
20,1990,16838.6732
21,1991,17266.09769
22,1992,16412.08309
23,1993,15875.58673
24,1994,15755.82027
25,1995,16369.31725
26,1996,16699.82668
27,1997,17310.75775
28,1998,16622.67187
29,1999,17581.02414
30,2000,18987.38241
31,2001,18601.39724
32,2002,19232.17556
33,2003,22739.42628
34,2004,25719.14715
35,2005,29198.05569
36,2006,32738.2629
37,2007,36144.48122
38,2008,37446.48609
39,2009,32755.17682
40,2010,38420.52289
41,2011,42334.71121
42,2012,42665.25597
43,2013,42676.46837
44,2014,41039.8936
45,2015,35175.18898
46,2016,34229.19363
